PubmedID,Title,Publication Date,Authors,Company Affiliation,Corresponding Author Email
40102189,Photosensitizing Drugs and Risk of Skin Cancer in Women-A Prospective Population-Based Study.,2025 Mar,"[{""name"": ""Christensen GB"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Kappelin J"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Sandgren J"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Nielsen K"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Ingvar \u00c5"", ""authtype"": ""Author"", ""clusterid"": """"}]",N/A,N/A
40102177,Differential Effects of IL4I1 Protein on Lymphocytes From Healthy and Multiple Sclerosis Patients.,2025 Apr,"[{""name"": ""Davis SE"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Hu J"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Nanescu SE"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Kumar MN"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Baydyuk M"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Oft HC"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Amjad FS"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Wellstein A"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Huang JK"", ""authtype"": ""Author"", ""clusterid"": """"}]",N/A,N/A
40102175,Decomposing Variations on Cluster Level for Binary Outcomes in Application to Cancer Care Disparity Studies.,2025 Mar 18,"[{""name"": ""Uno H"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Tramontano AC"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Punglia RS"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Hassett MJ"", ""authtype"": ""Author"", ""clusterid"": """"}]",N/A,N/A
40102113,Genitourinary Pathology Society and International Society of Urological Pathology White Paper on Defining Indolent Prostate Cancer: Call for a Multidisciplinary Approach.,2025 Mar 17,"[{""name"": ""Shah RB"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Paner GP"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Cheng L"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""De Marzo AM"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Magi-Galluzzi C"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Varma M"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Zhou M"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Amin A"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Amin MB"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Aron M"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Cunha IW"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Epstein JI"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Fine SW"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Haider A"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Iczkowski KA"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Kench JG"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Kunju LP"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Mohanty SK"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Montironi R"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Netto GJ"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Pan CC"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Rao P"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Srigley JR"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Sauter G"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Tan PH"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Tsuzuki T"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""van der Kwast TH"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""van Leenders GJ"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Kristiansen G"", ""authtype"": ""Author"", ""clusterid"": """"}]",N/A,N/A
40102029,"Nivolumab adjuvant to chemo-radiation in localized muscle-invasive urothelial cancer: primary analysis of a multicenter, single-arm, phase II, investigator-initiated trial (NEXT).",2025 Mar 18,"[{""name"": ""Galarza Fortuna GM"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Grass D"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Maughan BL"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Jain RK"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Dechet C"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Beck J"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Schuetz E"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Sanchez A"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""O'Neil B"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Poch M"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Li R"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Lloyd S"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Tward J"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Phunrab T"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Hawks JL"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Swami U"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Boucher KM"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Agarwal N"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Gupta S"", ""authtype"": ""Author"", ""clusterid"": """"}]",N/A,N/A
40102028,Progesterone receptor-dependent downregulation of MHC class I promotes tumor immune evasion and growth in breast cancer.,2025 Mar 18,"[{""name"": ""Tinoco JC"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Saunders HI"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Werner LR"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Sun X"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Chowanec EI"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Heard A"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Chalise P"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Vahrenkamp JM"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Wilson AE"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Liu CX"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Lei G"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Wei J"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Cros H"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Mohammed H"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Troester M"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Perou C"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Markiewicz MA"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Gertz J"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Balko JM"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Hartman ZC"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Hagan CR"", ""authtype"": ""Author"", ""clusterid"": """"}]",N/A,N/A
40102027,Comprehensive immunophenotyping of gastric adenocarcinoma identifies an inflamed class of tumors amenable to immunotherapies.,2025 Mar 18,"[{""name"": ""Veas Rodriguez J"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Pi\u00f1ol M"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Sorolla MA"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Parisi E"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Sorolla A"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Santacana M"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Ruiz M"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Parra G"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Bernabeu M"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Iglesias M"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Aracil C"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Escartin A"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Vilardell F"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Matias-Guiu X"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Salud A"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Montal R"", ""authtype"": ""Author"", ""clusterid"": """"}]",N/A,N/A
40102017,Postpneumonectomy space infection eight years after mediastinal repositioning procedure.,2025 Mar 18,"[{""name"": ""Staniforth E"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Taberham R"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Cogswell L"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Belcher E"", ""authtype"": ""Author"", ""clusterid"": """"}]",N/A,N/A
40101926,Knowledge mapping and visualized analysis of research progress in onconephrology: a bibliometric analysis.,2025 Dec,"[{""name"": ""Wang Y"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Fan S"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Wang W"", ""authtype"": ""Author"", ""clusterid"": """"}]",N/A,N/A
40101854,Linear energy transfer optimized proton therapy for rectal cancer.,2025 Mar 16,"[{""name"": ""Ma J"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Dragojevic S"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Remmes NB"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Mendelson NL"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Kloeber JA"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Ebner DK"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Wu Z"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Gunn HJ"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Merrell KW"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Hallemeier CL"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Haddock MG"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Jethwa KR"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Lou Z"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Mutter RW"", ""authtype"": ""Author"", ""clusterid"": """"}, {""name"": ""Callaghan CM"", ""authtype"": ""Author"", ""clusterid"": """"}]",N/A,N/A
